Zip.Code,Median Household Income
ZCTA5 13033,61000
ZCTA5 13034,61154
ZCTA5 13035,71865
ZCTA5 13036,52461
ZCTA5 13037,67655
ZCTA5 13039,83341
ZCTA5 13040,49353
ZCTA5 13041,84621
ZCTA5 13042,58241
ZCTA5 13044,67768
ZCTA5 13045,47667
ZCTA5 13051,
ZCTA5 13052,51818
ZCTA5 13053,59423
ZCTA5 13054,56979
ZCTA5 13057,59256
ZCTA5 13060,67656
ZCTA5 13061,59241
ZCTA5 13062,80000
ZCTA5 13063,81711
ZCTA5 13064,
ZCTA5 13066,78929
ZCTA5 13068,61291
ZCTA5 13069,46474
ZCTA5 13071,65188
ZCTA5 13072,50313
ZCTA5 13073,54729
ZCTA5 13074,54167
ZCTA5 13076,53710
ZCTA5 13077,57672
ZCTA5 13078,87734
ZCTA5 13080,57557
ZCTA5 13081,66528
ZCTA5 13082,64123
ZCTA5 13083,56154
ZCTA5 13084,63777
ZCTA5 13087,145066
ZCTA5 13088,53934
ZCTA5 13090,69519
ZCTA5 13092,63854
ZCTA5 13101,60889
ZCTA5 13102,
ZCTA5 13103,
ZCTA5 13104,97569
ZCTA5 13108,72537
ZCTA5 13110,70417
ZCTA5 13111,49306
ZCTA5 13112,52727
ZCTA5 13113,68750
ZCTA5 13114,57500
ZCTA5 13115,51125
ZCTA5 13116,57798
ZCTA5 13117,50833
ZCTA5 13118,55951
